date,product_id,store_id,sales,price,inventory_level,reorder_point,lead_time
2024-01-01,P001,S001,150,29.99,500,200,3
2024-01-01,P002,S001,200,19.99,800,300,2
2024-01-01,P003,S001,100,49.99,300,100,4
2024-01-01,P001,S002,180,29.99,600,200,3
2024-01-01,P002,S002,220,19.99,900,300,2
2024-01-01,P003,S002,120,49.99,400,100,4
2024-01-02,P001,S001,160,29.99,450,200,3
2024-01-02,P002,S001,210,19.99,750,300,2
2024-01-02,P003,S001,110,49.99,250,100,4
2024-01-02,P001,S002,190,29.99,550,200,3
2024-01-02,P002,S002,230,19.99,850,300,2
2024-01-02,P003,S002,130,49.99,350,100,4
2024-01-03,P001,S001,170,29.99,400,200,3
2024-01-03,P002,S001,220,19.99,700,300,2
2024-01-03,P003,S001,120,49.99,200,100,4
2024-01-03,P001,S002,200,29.99,500,200,3
2024-01-03,P002,S002,240,19.99,800,300,2
2024-01-03,P003,S002,140,49.99,300,100,4 
